1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
431	-0.619674	64.359635	2.797686	0.010184	9.1
432	-0.643148	65.359635	2.765291	0.009585	9.1
433	-0.626590	66.357914	2.733690	0.008813	9.3
434	-0.640229	65.445309	2.762550	0.006572	9.2
435	-0.619643	65.378976	2.764671	0.007176	9.3
436	-0.634549	66.338208	2.734307	0.010442	9.6
437	-0.632673	67.338208	2.703354	0.007077	9.3
438	-0.612534	67.604907	2.695217	0.005523	10.0
439	-0.597879	68.557760	2.666541	0.006309	9.3
440	-0.615533	68.995149	2.653582	0.009703	9.4
441	-0.624521	68.083535	2.680736	0.006748	9.4
442	-0.613102	69.078503	2.651126	0.009674	9.1
443	-0.625380	68.556160	2.666589	0.011140	9.0
444	-0.608833	67.643852	2.694033	0.007450	9.7
445	-0.633011	66.730874	2.722069	0.009487	9.9
446	-0.628697	67.726312	2.691529	0.006292	10.2
447	-0.626799	68.709062	2.662044	0.008298	9.8
448	-0.615885	69.709041	2.632698	0.007341	9.5
449	-0.631796	69.950450	2.625710	0.007968	9.1
450	-0.618415	70.689499	2.604546	0.010265	9.5
451	-0.619381	69.776540	2.630740	0.006856	9.1
452	-0.624855	68.863920	2.657457	0.006176	9.0
453	-0.618262	69.766576	2.631029	0.009384	9.0
454	-0.624380	68.855577	2.657704	0.012180	9.0
455	-0.621330	69.812022	2.629712	0.007263	9.2
456	-0.645471	70.812019	2.601070	0.008005	10.9
457	-0.628425	70.035220	2.623265	0.005294	10.1
458	-0.625879	71.026286	2.595014	0.005852	9.1
459	-0.623701	71.658747	2.577301	0.011083	9.2
460	-0.627490	70.748144	2.602881	0.009277	9.0
461	-0.624499	71.748144	2.574817	0.011062	10.8
462	-0.633428	70.835167	2.600414	0.006934	10.9
463	-0.619272	71.835167	2.572403	0.011911	11.4
464	-0.617558	72.136857	2.564071	0.008671	11.3
465	-0.624119	73.121344	2.537251	0.008164	9.6
466	-0.619200	72.212603	2.561987	0.010331	9.5
467	-0.625978	73.212603	2.534793	0.009738	9.1
468	-0.630475	74.212592	2.508171	0.006070	9.3
469	-0.636244	73.336032	2.531477	0.006462	9.6
470	-0.611184	73.723215	2.521129	0.007021	9.4
471	-0.623851	72.813248	2.545584	0.007586	9.7
472	-0.631129	71.913577	2.570232	0.006080	9.6
473	-0.614772	72.913512	2.542866	0.006217	10.0
474	-0.629860	72.971927	2.541285	0.008909	9.8
475	-0.629745	73.971354	2.514542	0.006359	9.6
476	-0.622563	74.528158	2.499886	0.006501	9.2
477	-0.635617	75.512372	2.474392	0.007699	9.1
478	-0.619293	76.503066	2.449251	0.008969	9.7
479	-0.612556	77.479552	2.424965	0.010194	10.1
480	-0.618164	78.455543	2.401168	0.006906	10.0
481	-0.620414	79.455530	2.377266	0.006136	9.2
482	-0.624560	78.623311	2.397125	0.011700	9.0
483	-0.628098	77.710334	2.419296	0.008232	9.1
484	-0.620925	77.330105	2.428651	0.006309	9.3
485	-0.617291	78.321533	2.404408	0.011268	9.0
486	-0.610203	77.408571	2.426714	0.004626	8.8
487	-0.618920	78.395744	2.402613	0.007520	8.7
488	-0.621543	79.267269	2.381729	0.008067	8.9
489	-0.631622	80.267263	2.358210	0.007412	9.1
490	-0.610181	79.432084	2.377821	0.005362	9.2
491	-0.625248	78.519206	2.399632	0.008098	9.7
492	-0.612768	78.912900	2.390177	0.009105	10.3
493	-0.620787	77.999923	2.412219	0.008092	10.2
494	-0.620479	77.086950	2.434671	0.006381	9.6
495	-0.616628	76.480827	2.449810	0.006708	10.8
496	-0.627846	75.999582	2.461964	0.013091	11.5
497	-0.629743	75.092289	2.485210	0.011278	12.1
498	-0.618943	74.257922	2.506978	0.006610	10.4
499	-0.635344	73.344945	2.531238	0.004893	10.0
